question,answer
hold the service outdoors to make distancing easier for a big service.,"if you are hosting a service, look into hosting the eulogies and service at the cemetery or some other outdoor venue. it’s much easier to socially distance if people aren’t confined to a small space. set seats up in a circle around the person delivering services so that people can sit and mourn together with at least 6 feet (1.8 m) between one another."
will i have to pay to be tested for covid-19?,"on march 9, colorado gov. jared polis instructed the colorado division of insurance to take action to help ensure coloradans would not be price-gouged for covid-19 care by requiring most insurance companies to provide free care for covid-19."
what self care actions can i take to protect my sexual and reproductive health?,"in 2019, who issued a new guideline that brought together 32 existing or new recommendations on a range of sexual and reproductive health self-care interventions. the guideline has recommendations on pregnancy and newborn care, contraception, abortion, sexually transmitted infections including hiv and hpv, and for sexual health more broadly. the full list of recommendations can be found here:"
"if a business is open to the public, are they required to provide public restrooms?","yes. the international plumbing code requires public toilet facilities be provided for customers, unless all customer transactions are takeout or pickup and drop-off. there has been no suspension of this requirement."
i participated in the virginia coronavirus serology project. when will i get my test result?,"you will receive your result 2-4 weeks after your blood sample was collected, if you indicated that you wanted your test result mailed to you when you enrolled. blood samples are shipped to the laboratory weekly and tested in batches, so the exact timeline varies. if you do not receive your test result by four (4) weeks after your sample was collected, please call 1-877-askvdh3 (1-877-275-8343) and ask for the coronavirus serology project."
who should not wear a mask?,"children under 2 years old should not wear a mask. someone who is sick and has trouble breathing should not wear a mask. anyone who can't take a mask off without help (for example, if they're unconscious)        should not wear a mask."
should pregnant women be tested for covid-19?,"testing protocols and eligibility vary depending on where you live. however, who recommendations are that pregnant women with symptoms of covid-19 should be prioritized for testing. if they have covid-19, they may need specialized care."
my business facility is less than 150 square feet – does that mean i’m not allowed to have any customers     inside my facility?,no. businesses less than 150 square feet may have one member of the public in their facility at a time.
what does the test entail?,a simple nasal swab is all that is needed to test for covid-19.
"does the masking requirement apply to workers who are outdoors, and who engage in heavy physical activity, such as employee of solid waste companies and landscapers?","yes. however, an employee does not need to wear a mask if it impedes their vision, if they have a medical condition, or if it would create an unsafe condition in which to operate equipment or execute a task."
can my pet infect me with the virus that causes covid-19?,"at present, it is considered unlikely that pets such as dogs or cats can spread the covid-19 virus to humans. however, pets can spread other infections that cause illness, including e. coli and salmonella, so wash your hands thoroughly with soap and water after interacting with pets."
what is the risk of getting covid-19 from packages delivered through the postal system?,"a recent study published by the new england journal of medicine (nejm) reported that the causal agent of covid-19 (sars-cov-2) is able to persist for up to 24 hours on cardboard, in experimental settings (e.g. controlled relative humidity and temperature). in practice however there is no evidence of the infection ever being transmitted through contaminated packages that are exposed to different environmental conditions and temperatures."
how does vdh collect covid-19 surveillance data?,"covid-19 surveillance draws from a combination of data sources. these sources, combined, create an updated, accurate picture of coronavirus spread and its effects in virginia and provide data used to inform virginia’s public health response to covid-19."
encourage your children to stop touching their faces.,"keep a close on your kids to make sure they’re not picking their nose or putting their hands in their mouth. if you catch them in the act, tell them to wash their hands.  try giving positively-worded reminders, like ""hands off your face, please!"" encourage fidgety kids to wear fidget jewelry and/or use fidget toys so they have a better way to occupy their hands."
how do new federal paid leave requirements impact my business?,the answer to your question can be found in this article on the business information hub.
who is most vulnerable?,"women who are displaced, who are migrants or refugees, and those living in conflict-affected areas, older women and women with disabilities are particularly at risk of violence and are likely to be disproportionately affected by violence during covid-19."
will my septic system treat covid-19?,"while decentralized wastewater treatment (i.e., septic tanks) do not disinfect, epa expects a properly managed septic system to treat covid-19 the same way it safely manages other viruses often found in wastewater. additionally, when properly installed, a septic system is located at a distance and location designed to avoid impacting a water supply well."
can animals carry the virus that causes covid-19 on their skin and fur?,"at this time, there is no evidence that the virus that causes covid-19 can spread to people from the skin or fur of pets. normal cleanliness and hygiene should be maintained for your pet. as a general precaution it is recommended that you wash your hands with soap and water after touching animals."
who is funding the county’s covid-19 response?,"san mateo county is working with fiscal partners at the local,  state and federal government levels to appropriate funds for our  response to the novel coronavirus (covid-19.)"
stay positive.,"millions of people out there are suffering, but are slowly recovering too. we should have faith that this pandemic will soon die down."
spray the surface thoroughly with disinfectant spray.,hold the spray bottle of natural disinfectant an arm’s length from the surface you need to disinfect and spray thoroughly. spray all the surfaces you are disinfecting if you are disinfecting multiple surfaces.
can coronavirus live in heat? will the outbreak stop when it gets warm outside?,"several countries currently affected by the new coronavirus outbreak are experiencing summer weather. some viral illnesses, like the flu, seem to be less common in warmer months, but it is still possible to catch them during that time. investigations are exploring the effects of temperature and weather on the spread of this new coronavirus."
how long will the extra $600 a week be available?,"once implemented, the $600 fpuc payments will be backdated to all eligible weeks for which individuals claim uc or pua beginning the week ending april 4, 2020 and will be paid for all eligible weeks claimed through july 25, 2020."
what strategies can healthcare providers and first responders use to reduce stress associated with the covid-19 outbreak?,please see healthcare providers: emotional and psychological reactions
should i be concerned about pets or other animals getting or spreading covid‑19?,"currently, there is no evidence that animals play a significant role in spreading covid-19. a small number of animals have been reported to be infected with the virus that causes covid-19, mostly after contact with people with covid-19. if you are sick, limit contact with animals to minimize risk to them."
contact your local united way for financial assistance and other resources.,"the united way provides cash assistance in some areas, as well as childcare, social services, food, healthcare, and education. the organization also has a list of other nonprofit organizations in your area that are providing assistance in the wake of the pandemic. to get contact information for the nearest united way office, go to https://www.unitedway.org/find-your-united-way# and enter your zip code."
place 2 hair ties about 2 in (5.1 cm) inwards from each side.,"slide a hair tie over each end of the rectangle you folded and make sure they are about 6 inches (15 cm) apart. leave enough cloth on the ends of your mask after the hair ties so you can fold it over to keep them steady. if you don’t have hair ties, you can use rubber bands or sturdy string."
wash your hands before you and after you eat.,"before you eat, use soap and water and wash your hands for 20 seconds, being sure to cleanse the backs and palms of your hands, between your fingers, and under your fingernails. then, wash your hands again after your meal, as well as after you cough or sneeze, go to the toilet, or handle money. you can also use alcohol-based sanitizer if soap and water aren't available or if you touch any surface that might have been contaminated between hand washings."
watch movies together.,"you can use video chat or a phone call to stay on the line with someone while you watch the same movie together. this may be heavy on your bandwidth usage, so avoid doing it during school hours (when your neighbors might be attending class via video) and try using it with a dvd instead of streaming."
what guidance are reviewers being given as they consider applications during the covid-19 pandemic?,"reviewers are being told to assume that issues resulting from the coronavirus pandemic will be resolved prior to award, and not allow concerns about temporary, emergency situations to affect their scores. see coronavirus update: reviewer guidance."
open a window to ventilate shared spaces on good weather days.,"good air circulation helps limit the spread of covid-19 because germs might linger in the air. while your family member is sick, open the windows of your home if you can. this will allow fresh air inside, which might help you avoid getting sick."
"what is considered a ""place of care""?","a ""place of care"" is a physical location in which care is provided for your child. the physical location does not have to be solely dedicated to such care. examples include daycare facilities, preschools, before and after school care programs, schools, homes, summer camps, summer enrichment programs, and respite care programs."
can i use it outside during shopping?,"yes, you can. it helps if you use a medical face mask but these simpler masks are for you if you cannot afford any form of medical face mask."
do worker limits apply to work being done on the exterior of the property?,work being conducted to the exterior of the project may utilize additional workers and does not count towards the worker limitations for that jobsite. this applies to both residential and commercial projects.
water your plants with sour milk to give them calcium.,"if you have spoiled milk on hand and you aren't sure what to do with it, try pouring it in the soil around your houseplants or in your garden! while it's not really practical to rely on milk as a long-term fertilizer for your plants, it can provide them with a little boost, and it saves you from having to toss it out.  the milk may also help prevent powdery mildew from forming on your plants."
are there any herbal teas or herbal supplements that may help prevent or cure covid-19?,no. there is currently no evidence to support the use of herbal teas or herbal supplements to prevent or cure covid-19.
what are coronaviruses?,coronaviruses are a group of viruses that can cause illness in people and animals. the common cold is an example of a coronavirus.
when can i discontinue my self-quarantine?,"while many experts are recommending 14 days of self-quarantine for those who are concerned that they may be infected, the decision to discontinue these measures should be made on a case-by-case basis, in consultation with your doctor and state and local health departments. the decision will be based on the risk of infecting others."
when does the waiver of cost-sharing begin?,"the waiver began on may 2, 2020 and applies to any outpatient mental health service provided on or after that date. in addition, cost-sharing for all in-network telehealth services, including for mental health services, have been waived since march 16, 2020."
videochat and talk on the phone instead of just texting.,"texting can be a good way to stay in touch with the person you like, but it's not very personal. connecting with someone else can be a great way to help overcome some of the isolation and anxiety that come along with a disaster like a coronavirus outbreak, so try to make time for at least a short phone call or video chat each day. your voice and facial expressions convey a lot more emotion than just a wall of text, so they're a lot more effective at having reassuring or romantic conversations."
home remedies can cure and protect against covid-19,"no home remedies can protect against covid-19. this goes for vitamin c, essential oils, silver colloid, sesame oil, garlic, fish tank cleaner, burning sage, and sipping water every 15 minutes.the best approach is to adopt a good hand-washing regimen and to avoid places where there may be sick people."
stop your pet from licking or kissing you while you recover.,this can also spread other infections to you while you recover. avoid playing with or interacting with your pet if you are sick to protect yourself and your pet. ask someone who is not sick to care for your pet.
how should you clean a cloth face covering?,wash your cloth face covering after each use how you would normally wash laundry. have a few on hand to reduce washing.
keep your fingers away from the buttons.,"some viruses and bacteria can spread through direct contact with buttons. if possible, use another part of your body, such as your elbow or legs, to press the button: use your elbow cover your hand with a tissue, sleeve, or cloth before pressing use your leg if the button is low enough"
i am undocumented and have been financially affected by the covid-19 outbreak. what benefits and services can i apply for and access?,there are a number of services provided for free to all new yorkers no matter what your immigration status is. please check the moia covid-19 immigrant resource guide at nyc.gov/immigrants/coronavirus. the guide will be regularly updated as more benefits and services become available.
i would like to purchase masks for health care workers during the covid-19 pandemic. how can i get them?,"the fda does not have a list of mask suppliers. if you are a health care facility, check with your supplier, distributor, or your local health department."
what guidance is there related to the cleaning of school buildings?,"reducing the risk of exposure to covid-19 by cleaning and disinfection is an important part of reopening schools that will require careful planning. the cdc has developed reopening guidance for cleaning and disinfection schools, a cleaning and disinfection decision tree (pdf), and an infographic on cleaning your facility when someone has been diagnosed with covid-19 (pdf)."
"are caf members required to self-quarantine when deployed to gagetown, nb for training? what ppe will be provided to the caf members in charge?","caf members arriving on training presently have an exemption from the new brunswick government. as such, no quarantine will be required. all caf members, including students and instructors, will have access to the necessary ppe (to include masks, gloves, and sanitizer)."
i believe i contacted covid-19 from a sick co-worker. the co-worker tested positive and i became ill a short time later. how do i file a workers' compensation claim?,you should report your illness to your employer immediately and inform them you want to file a workers' compensation claim. your employer and their insurance company have 21 days to decide whether to cover your condition under workers' compensation.
is it still safe to receive packages?,"the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid-19 from a package that has been moved, traveled, and exposed to different conditions and temperatures is also low."
how will you transfer my prescription if the military pharmacy is closed?,"the defense health agency issued guidance to military pharmacies to ensure that work-around solutions, to include remote capabilities in case of full closure. staff will be available to assist in transferring your prescription to either mail order or a network retail pharmacy of your choice."
will cell phone text and minute limits be increased or lifted for the free or low cost cell phones provided by the federal government under the lifeline act?,ahcccs has learned that some lifeline act cell phone providers are lifting limits and providing unlimited minutes and texting due to the covid-19 emergency. information is available at: www.obamaphone.com and www.usac.org/lifeline.
are bars and restaurants open?,"as of june 5 (with exceptions in miami-dade, broward, and palm beach counties), bars and restaurants may operate at 50 percent seating capacity inside and full capacity outside with appropriate social distancing. patrons may only receive service if seated. restaurants may allow bar-top seating."
how can i tell if the gloves i want to purchase are counterfeit or fraudulent?,"the fda does not have an exhaustive list of all counterfeit or fraudulent products. to report fraudulent covid-19 products to the fda, email fda-covid-19-fraudulent-products@fda.hhs.gov."
"if i need to be hospitalized for covid-19, what do i need to do for my animals?","a family member, friend, or neighbor should be asked to care for your animals while you are hospitalized and until your isolation period has come to an end. alternatively, you can contact your veterinarian or an animal boarding facility to coordinate boarding your pet while you are in the hospital."
what about face covers for those who are hearing impaired and rely on reading lips to communicate?,"the national association of the deaf offers suggestions to aid communication for the deaf or hard of hearing. some alternatives for persons with hearing loss include using print-outs, a dry-erase board, or pen and paper to communicate; apps like google livetranscribe; or facetime/video calls where you ask the doctor to go to their office where they can safely remove their mask and talk with you via videophone, or have them text/email."
what are the financial implications of the covid-19 response?,"at this time we do not know, and this is an evolving situation,  therefore we can expect things to change. we will work with the  appropriate government agencies to assess cost."
are there flexibilities available to iacucs regarding the conduct of iacuc meetings and semiannual facility inspections?,"iacucs may consider flexibilities in the conduct of official business and semiannual animal facility inspections during this emergency, as stated in not-od-20-088."
does total tested include results from commercial labs?,"total tested on our covid-19 table and covid-19 data and surveillance dashboard represents unique individuals with tests that were satisfactorily performed by the alabama department of public health (adph) bureau of clinical laboratories (bcl), along with data from commercial and clinical labs. commercial and clinical labs are required by law to report all positive and all negative results for sars-cov-2 to adph."
how many hours is an employer obligated to pay an hourly-paid employee who works a partial week because the employer’s business closed?,"the pennsylvania minimum wage act requires that employees be paid for all hours worked.it does not require employers who are unable to provide work to employees to pay them for hours the employees would have otherwise worked.generally, salaried employees who are exempt from overtime must receive their full salary in any week in which they perform work, subject to very limited exceptions."
what are the recommendations for non-emergency medical transportation (nemt) providers to protect themselves?,"this arizona department of health services flier provides information to help nemt providers understand the signs and symptoms of coronavirus, how it spreads, the recommendations for how to protect yourself and others, when to use personal protective equipment (ppe), and where to request it."
who should healthcare workers or front line responders contact about getting tested,"healthcare workers or frontline responders who are ill with symptoms of covid-19 (fever, cough, shortness of breath, chills, muscle pain, sore throat, new loss of taste/smell), or are well and want to discuss testing, should contact their healthcare provider. some employers may provide testing through their occupational health program."
"i am a teenager, does this apply to me too?","yes, it applies for all ages. make sure you are keeping very active during these times and that you keep yourself healthy."
travel to a research site is hindered due to travel restrictions that are in place related to covid-19. what should the recipient do?,nih understands that travel restrictions may continue to occur through the remainder of the public health emergency and will likely affect the progress of nih-funded research. recipients must contact the funding ic to alert them of the delays. nih is committed to working with its applicants and recipients during this public health emergency.
will economic research service (ers) reports be released according to schedule?,ers is committed to on-time delivery of all high priority and mandated products – including all calendared items – as scheduled. ers is fully prepared to perform its mission-related activities. nearly all staff are telework ready and ers is operating in a 100% cloud computing environment.
"can i go outside? can i play golf or tennis? can i take my children to the playground? what about boating, hunting, and fishing?","generally, you may go outside as long as you stay six feet apart from other people. keep exercising and go outside---but avoid activities that increase the risk of spreading covid-19."
what if i can’t afford face coverings?,"if an individual cannot afford to buy face coverings, a cloth face covering may be sewn by hand or can be improvised from household items such as scarfs, t-shirts, sweatshirts or towels."
what if my business has multiple naics codes?,"follow the least restrictive code. if one code is deemed essential while others are not, the business should be considered essential unless further clarification has been given by the state to you directly or through an industry trade group."
what if i've been diagnosed with covid-19 and need immediate action on my va appeal?,the board of veterans' appeals will offer you a priority review to move your appeal to the front of the line. this is called 'advanced on the board of veterans' appeals docket' (or aod). find out how to file for aod and required documents check your va claim or appeal status online
keep your room tidy.,"if you are working in your room most of the day, you are going to want to make sure that it is tidy. make sure that your room is cleaned up, and declutter it."
avoid touching the front of your face covering.,"the front of your mask is contaminated. when you remove it, only touch the part of your face covering that goes around your ears or around the back of your head. stop what you're doing and wash your hands immediately if you inadvertently touch the front of your mask."
how does an ihs/638 provider bill telehealth services?,"for specific billing instructions regarding telehealth and telephonic services, please see chapter 8 -individual practitioner services of the ihs-tribal provider billing manual. the division of fee-for-service management has not changed the way to bill for telehealth services but has expanded what services can be delivered via telehealth."
what precautions should i take during travel?,"during travel, everyone should clean hands frequently, cough or sneeze into a bent elbow or tissue, and try to maintain a physical distance of at least one metre from others. travelers should follow the recommendations of the travel authorities regarding policies in the airport and of the airline for the flight."
what should i do if i suspect my co-worker was exposed to covid-19 or is exhibiting symptoms?,you should discuss your concerns with your supervisor or someone in your agency hr office. you must continue to report to work and perform your work as scheduled. do not confront your co-worker directly and allow for hr to determine whether to speak with your co-worker.
"for awards with an effort level requirement (e.g., career development awards), can pi effort be temporarily reduced below program effort requirements due to the impact of covid-19?","recipients can contact the funding ic to request prior approval for reductions in effort due to covid-19, which may go below the required effort levels for the grant."
support a local restaurant if it's possible.,"during the coronavirus outbreak, a lot of businesses are suffering from reduced traffic. one way you can help is to order food from small businesses in your area that are still trying to operate during this time. even just a few orders a day could help ensure your favorite take-out spot is ready to return to full service once the coronavirus threat has passed."
what if i am not a high-risk patient and need to receive testing?,"for patients aged 3 – 60, who already have a cleveland clinic physician’s order, we are re-evaluating our ability to provide covid-19 testing. we are asking them to not report to the testing facilities until they are contacted by cleveland clinic with further instructions."
share sustainability ideas with family and friends.,"if you have ideas about how to stay green during the coronavirus crisis, speak up! call, email, or text people you know with your ideas, or get online and share them on social media. use hashtags like #earthday, #zerowaste, or #savetheplanet to make your posts easier to find. for example, if you have an idea for how to upcycle plastic bags or if you know of a new green power initiative in your area, hop on twitter and let your followers know!"
will my child be able to participate in recess?,emphasis should be placed on cohorting students and limiting the size of groups participating in playground time. outdoor transmission of virus is known to be much lower than indoor transmission.
what about non-essential operations related to research and data collection?,"for non-essential operations and functions, field work (i.e. timber surveys, permit inspections, prescribed fire, scientific surveys and forest health monitoring) related to critical research and forest health may be impacted temporarily or permanently with loss in annual data collection. the severity of impact, the loss of data collection will depend upon the critical nature of the program and connections with customers."
"as a vaper, am i more likely to be infected or to have more severe symptoms if infected?","there is no evidence about the relationship between e-cigarette use and covid-19. however, existing evidence indicates that electronic nicotine delivery systems (ends) and electronic non-nicotine delivery systems (ennds), more commonly referred to as e-cigarettes, are harmful and increase the risk of heart disease and lung disorders. given that the covid-19 virus affects the respiratory tract, the hand-to-mouth action of e-cigarette use may increase the risk of infection."
"will any of these ingredients harm the surface being disinfected? for example, granite?","yes. do not use on granite or marble, as the vinegar will eat away at the stone. use special granite cleaners or wash with dishwashing detergent, then rinse and wipe dry."
what is the difference between the kitchen and bathroom formulas? can the same formula be used for both?,"no, they are different because you are generally targeting different types of bacteria."
will aphis continue to work with the department of homeland security to continue operations at the plum island animal disease center and ensure the smooth transition of the national bio- and agro defense (nbaf) facility to usda?,"the plum island animal disease center continues to be operational to support testing for high consequence livestock diseases. aphis, in coordination with usda’s agricultural research service and the department of homeland security (dhs), also continues to work on the transition of this facility from plum island, new york to manhattan, kansas. we remain on track for usda to take responsibility for nbaf operations in december 2020 with the formal transfer of ownership occurring in may 2021."
will land exchange projects continue?,land exchange projects will continue and may experience delays associated as the agency transitions to virtual delivery of mission work.
where do i find out my test results for covid-19?,"the person who requested the test for you will receive the results. if your health care provider requested the test, that provider will receive your results and communicate those results to you."
who does contact tracing?,"contact tracing is done by specially trained public health professionals. in general, these trained staff study patterns and causes of diseases in humans. public health professionals tasked with contact tracing are experts in protecting client confidentiality, counseling, cultural competency, and more."
"will usda issue orders with allocations of production on a company-by-company basis or will there, instead, be an industry-wide approach?",the issuance of priority orders under the defense production act is an option under active consideration. the usda does not plan to issue an order to a facility unless necessary. usda encourages establishments and state and local officials to follow the cdc/osha guidance specific to the meat and poultry processing sector to resume or maintain continuity of operations.
can a contractor open its office location to conduct business?,"yes, as long as the safety measures in the doh business safety order are followed. when possible, those who can telework should do so."
cut out the outer pieces with an extra 1.5 in (3.8 cm) side margin.,"you’ll want wider margins on the side edges of the outer layer of the mask so you'll have a place to insert your elastic. use your fabric scissors to cut out the pattern. as you cut, add an estimated 1.5 in (3.8 cm) to the outer edge of the fabric (where the mask will face the wearer’s ear)."
"do the flexibilities outlined in the recent guide notices and these faqs apply to contracts, in addition to grants and cooperative agreements?","no, the guidance provided by the office of extramural research in guide notices and these faqs are specific to nih grants and cooperative agreements. contracts must be handled on a case by case basis. details regarding any contract must be directed to the cognizant contracting officer, including questions regarding salary charges."
"are manufactures, repackers, or wholesalers of prescription drugs or devices that are physically located outside of new york state and not registered in new york state able to deliver prescription medications and devices into this state?","yes, under executive order 202.15, a pharmacy located and registered in new york state can receive drugs and medical supplies or devices from an unlicensed pharmacy, wholesaler, or third-party logistics provider located in another state to alleviate a temporary shortage of a drug or device that could result in the denial of health care, as long as the following requirements are met:"
wear a mask at home when you have to leave your room.,"of course, you’ll have to leave your room or quarantine area every so often to use the bathroom or get food. when you do leave your area, always put a mask on to avoid exposing anyone else to the virus, just in case you have it. when you do have to leave your room, let everyone know so they can keep a good distance from you until you’re back in your room."
"during the recent declared state of emergency and in conjunction with governor wolf’s mandated school closings, does a minor have to appear personally before the issuing officer in order to obtain a work permit?","the regulatory requirements for a minor to personally appear before the issuing officer and for the minor to sign the permit in the issuing officer’s presence before a work permit can be issued are currently suspended for the duration of the governor’s disaster declaration.in lieu of a personal appearance before the issuing officer, examinations may occur by video."
"what can i do to protect people from the risks associated with smoking, smokeless tobacco use and vaping?","if you smoke, use e cigarettes or use smokeless tobacco, now is a good time to quit completely.do not share devices like waterpipes and e-cigarettes.spread the word about the risks of smoking, using e-cigarettes and using smokeless tobacco.protect others from the harms of second-hand smoke.know the importance of washing your hands, physical distancing, and not sharing any smoking or e -cigarette products.do not spit in public places"
order your food online or over the phone.,"to help minimize the amount of time you'll need to spend in the restaurant, check whether there's an option to place your order online. if there's not, or if you have any special instructions about your food, call ahead to order your food. consider asking how long the wait will be so you'll know about what time you should arrive to pick up your food."
create group chats to talk with multiple people at once.,"open your messaging app on your phone and create a new text message thread. add a bunch of friends and family to the chat, then text away! if you’re feeling isolated, group chats are a great way to feel like you’re having a physical conversation. if you’re having trouble setting up a group chat, try using a secondary messaging app like telegram, groupme, or whatsapp."
"what should i do if, once back in the workplace, i feel that others around me are not adhering to the public health measures (phm) that have been implemented for the good of everyone?","if you see that someone is not adhering to the up-to-date phm that have been dictated, you can bring these concerns or observations to your supervisor. in order to avoid conflict, use your judgement to determine when you might just remind your co-worker of a specific measure or ask them to maintain physical distancing, and, when appropriate it might be necessary to speak with your supervisor."
does hand sanitizer help?,"yes, this will help prevent contracting and spreading coronavirus."
what is the expected timeline for field trials of a vaccine that is safe and effective against sars-cov-2?,there is currently no vaccine effective against sars-cov-2. a vaccine against sars-cov-2 will likely not be ready for public use for at least one year or more.
how does this public health emergency declaration affect my application’s review?,nih assures the applicant community that peer review will continue to take place. nih will be flexible about accommodating virtual participation for aspects of peer review that would otherwise require in-person meetings.
how long might a typical death investigation take in the case of a patient who died after testing positive for covid-19?,death investigation can take one hour or less once the medical records are received.
where can i find information on coronavirus in georgia?,"the georgia department of public health (gdph) is the state’s leading source of information for covid-19 in georgia. check the gdph website for the latest data on confirmed cases, testing, and guidance on mitigating the spread."
can i go to the beach?,"under the current safer at home health order, anyone using the alabama beaches must maintain a consistent six-foot distance between himself or herself and all persons from a different household. the term ""beach"" means the sandy shoreline area abutting the gulf of mexico, whether privately or publicly owned, including beach access points."
"what if a student arrives at school without a face covering, and refuses to wear one provided by the lea?","if a student refuses, the student must be excluded from on-campus instruction, unless they are exempt, until they are willing to wear a face covering. students excluded on this basis should be offered other educational opportunities through distance learning. disposable paper masks are thinner and may be less effective, but may still be used as a face covering to meet the requirement."
fact: vaccines against pneumonia do not protect against the covid-19 virus,"vaccines against pneumonia, such as pneumococcal vaccine and haemophilus influenza type b (hib) vaccine, do not provide protection against the new coronavirus.the virus is so new and different that it needs its own vaccine. researchers are trying to develop a vaccine against covid-19, and who is supporting their efforts.although these vaccines are not effective against covid-19, vaccination against respiratory illnesses is highly recommended to protect your health."
.>. does this prevent me from getting corona?,"these steps can't guarantee that you won't get coronavirus, or any other illness, because viruses can spread person-to-person. but cleaning all the surfaces you touch will make you much safer and reduce your chances of getting sick."
has the cause of covid-19 been identified?,"early on, many of the patients in the outbreak in wuhan, china reportedly had some link to a large seafood and animal market, suggesting initial animal-to-person spread. now, person-to-person spread is occurring."
"i heard a patient who tested positive for covid-19 was seen in my primary care office. should i be concerned if i have an appointment, surgical procedure, or to have my baby in the same mtf?","no, clinics and hospitals follow federal or state guidelines for keeping sick patients away from others. they also follow strict guidelines on infection control and cleaning public areas and treatment rooms. you should feel safe to get treatment, elective procedures, or even deliver your baby."
"if one person in my family is placed in/on quarantine, does that mean everyone else in the house is in/on quarantine? if not, how do we protect our non-quarantined family members?",yes. all family members should quarantine if one family member is quarantined. please contact your health care provider if you have questions.
which face covering requirement do i follow if my city already has a face covering requirement?,"the executive order establishes the minimum face covering requirements for all minnesotans. if a local government authority (such as a city or county) establishes requirements that are more protective (in that they require face coverings in more situations), those requirements must be followed."
give them a little extra patience and love.,"a home quarantine situation can be hard on everyone. remember that your loved one with down syndrome is doing their best right now, just like you are. some reassurance and love can help them feel better in these trying times."
what is an asymptomatic case of covid-19?,"an asymptomatic carrier is a person who comes down with covid-19 without showing any symptoms. these types of cases aren’t unique to just covid-19. in fact, most infectious illnesses will have asymptomatic carriers, whether it’s the flu or a more outdated illness, like typhoid fever."
can someone who died from coronavirus still have their organs donated?,"that’s not recommended right now, according to the us organ procurement and transplantation network. “this guidance may change as more becomes known about the course and treatment of covid-19,” the network said. “donation and transplant clinicians should apply their medical judgment in instances where test results are pending at the time of organ offers.”"
what has ahcccs done to date to supply financial relief to providers impacted by the covid-19 emergency?,the act also included $1.3 billion in supplemental funding for federally qualified health centers (fqhcs). twenty-three arizona fqhcs received a combined $25.8 million in supplemental payments.
i have a lab order from my physician. how long will it take to get done?,"the laboratory patient service centers are prioritizing orders for patients who require urgent laboratory testing. if you have non-urgent lab testing orders, we ask that you postpone those orders. if you are not sure how long you can safely delay, please speak with your provider."
can i become sick with coronavirus (covid-19) from food?,"we are not aware of any reports at this time of human illnesses that suggest covid-19 can be transmitted by food or food packaging. however, it is always important to follow good hygiene practices (i.e., wash hands and surfaces often, separate raw meat from other foods, cook to the right temperature, and refrigerate foods promptly) when handling or preparing foods."
